rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
709962000000,,35497,,709,962000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.81258350377972e-15, -1.434343095685353e-13]","[0.651903209712037, 0.6119768715767826]"
709982000000,,35498,,709,982000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.026104416156531e-15, -1.4323488413143376e-13]","[0.651903209712037, 0.6119768715767826]"
710002000000,,35499,,710,2000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.243920632608869e-15, -1.4303322252735146e-13]","[0.651903209712037, 0.6119768715767826]"
710022000000,,35500,,710,22000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[9.236589357947134e-15, -1.5949074743185077e-13]","[0.6519032097120636, 0.6119768715767826]"
710042000000,,35501,,710,42000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.138677957210318e-15, -1.5834567408364378e-13]","[0.6519032097120636, 0.6119768715767826]"
710062000000,,35502,,710,62000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.716232980261445e-15, -1.5789113587535639e-13]","[0.6519032097120636, 0.6119768715767826]"
710082000000,,35503,,710,82000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.967266440773307e-15, -1.5812818312784319e-13]","[0.6519032097120636, 0.6119768715767826]"
710102000000,,35504,,710,102000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.790189120952112e-15, -1.4240368731216133e-13]","[0.651903209712037, 0.6119768715767826]"
710122000000,,35505,,710,122000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.324341328752981e-15, -1.429000011854073e-13]","[0.651903209712037, 0.6119768715767826]"
710142000000,,35506,,710,142000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.865588284520052e-15, -1.4338434140091089e-13]","[0.651903209712037, 0.6119768715767826]"
710162000000,,35507,,710,162000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.080104460609887e-15, -1.431846787945841e-13]","[0.651903209712037, 0.6119768715767826]"
710182000000,,35508,,710,182000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.631298971309513e-15, -1.4366264932232434e-13]","[0.651903209712037, 0.6119768715767826]"
710202000000,,35509,,710,202000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.627288065801014e-15, -1.588630147027724e-13]","[0.6519032097120636, 0.6119768715767826]"
710222000000,,35510,,710,222000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.199360244584564e-15, -1.5840136819399164e-13]","[0.6519032097120636, 0.6119768715767826]"
710242000000,,35511,,710,242000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.778588157706517e-15, -1.5794947950476326e-13]","[0.6519032097120636, 0.6119768715767826]"
710262000000,,35512,,710,262000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.030462721935003e-15, -1.5818801753523723e-13]","[0.6519032097120636, 0.6119768715767826]"
710282000000,,35513,,710,282000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.84015051231296e-15, -1.4235773746883867e-13]","[0.651903209712037, 0.6119768715767826]"
710302000000,,35514,,710,302000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.375908694581823e-15, -1.4285146958566142e-13]","[0.651903209712037, 0.6119768715767826]"
710322000000,,35515,,710,322000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.918761624816888e-15, -1.4333387856604526e-13]","[0.651903209712037, 0.6119768715767826]"
710342000000,,35516,,710,342000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.134483975823613e-15, -1.4313398556675683e-13]","[0.651903209712037, 0.6119768715767826]"
710362000000,,35517,,710,362000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[2.6888532362028678e-14, -1.771616639739508e-13]","[0.6519032097476174, 0.6119768715767826]"
710382000000,,35518,,710,382000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.670852664344197e-15, -1.5890180881175664e-13]","[0.6519032097120636, 0.6119768715767826]"
710402000000,,35519,,710,402000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.260244972833203e-15, -1.584578076933331e-13]","[0.6519032097120636, 0.6119768715767826]"
710422000000,,35520,,710,422000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.841451554919943e-15, -1.5800778925285225e-13]","[0.6519032097120636, 0.6119768715767826]"
710442000000,,35521,,710,442000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-8.36005933533765e-15, -1.4181234989476058e-13]","[0.6519032096942734, 0.6119768715767826]"
710462000000,,35522,,710,462000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.890369401689773e-15, -1.4231239748923805e-13]","[0.651903209712037, 0.6119768715767826]"
710482000000,,35523,,710,482000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.427692900845162e-15, -1.4280272114548104e-13]","[0.651903209712037, 0.6119768715767826]"
