rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
11048000000,,548,,11,48000000,'',"[joint_1, joint_2]","[5.858638915382532, 0.6692145020758291]","[0.004728570780820739, -6.128140816805388e-05]","[2.2678621679273054, 0.5932826799561376]"
11068000000,,549,,11,68000000,'',"[joint_1, joint_2]","[5.85873331222852, 0.6692132758857712]","[0.004711956375164819, -6.133354967204942e-05]","[2.2679257758693674, 0.5932728681866476]"
11088000000,,550,,11,88000000,'',"[joint_1, joint_2]","[5.858827377534526, 0.6692120487447495]","[0.004695413241068446, -6.137690566621837e-05]","[2.2679891955757254, 0.593263120135427]"
11108000000,,551,,11,108000000,'',"[joint_1, joint_2]","[5.858921112727055, 0.669210820830684]","[0.004678941466882091, -6.141127432176055e-05]","[2.2680524164137554, 0.5932534285123131]"
11128000000,,552,,11,128000000,'',"[joint_1, joint_2]","[5.859014519233487, 0.6692095923249743]","[0.004662541057399463, -6.143650639989489e-05]","[2.2681154284171643, 0.5932437864304205]"
11148000000,,553,,11,148000000,'',"[joint_1, joint_2]","[5.8591075984804695, 0.6692083634114772]","[0.004646211938892679, -6.145250220559572e-05]","[2.2681782222842943, 0.5932341874065297]"
11167000000,,554,,11,168000000,'',"[joint_1, joint_2]","[5.859200351892395, 0.6692071342755517]","[0.004629953964108777, -6.145920856593518e-05]","[2.268240789374201, 0.5932246253592155]"
11188000000,,555,,11,188000000,'',"[joint_1, joint_2]","[5.859292780889982, 0.6692059051031576]","[0.004613766917259708, -6.145661582071527e-05]","[2.2683031216996667, 0.5932150946056322]"
11208000000,,556,,11,208000000,'',"[joint_1, joint_2]","[5.859384886888954, 0.6692046760800201]","[0.004597650518936655, -6.144475484638236e-05]","[2.2683652119179865, 0.5932055898572224]"
11228000000,,557,,11,228000000,'',"[joint_1, joint_2]","[5.859476671298826, 0.669203447390843]","[0.004581604430922263, -6.142369411103743e-05]","[2.268427053320547, 0.5931961062136696]"
11248000000,,558,,11,248000000,'',"[joint_1, joint_2]","[5.859568135521775, 0.6692022192185911]","[0.004565628260921648, -6.139353676821654e-05]","[2.2684886398194974, 0.5931866391557067]"
11268000000,,559,,11,268000000,'',"[joint_1, joint_2]","[5.859659280951596, 0.6692009917438346]","[0.004549721567255681, -6.135441786246816e-05]","[2.2685499659331962, 0.5931771845369765]"
11288000000,,560,,11,288000000,'',"[joint_1, joint_2]","[5.85975010897278, 0.6691997651441239]","[0.004533883863309747, -6.130650151330453e-05]","[2.2686110267706323, 0.5931677385751795]"
11310000000,,561,,11,308000000,'',"[joint_1, joint_2]","[5.859840620959651, 0.6691985395934514]","[0.004518114621996332, -6.12499782615284e-05]","[2.2686718180134693, 0.5931582978418848]"
11328000000,,562,,11,328000000,'',"[joint_1, joint_2]","[5.859930818275602, 0.6691973152617381]","[0.004502413279978844, -6.11850624250886e-05]","[2.268732335897626, 0.5931488592518727]"
11348000000,,563,,11,348000000,'',"[joint_1, joint_2]","[5.86002070227242, 0.6691960923144]","[0.0044867792417849234, -6.11119895700743e-05]","[2.2687925771943087, 0.593139420051509]"
11368000000,,564,,11,368000000,'',"[joint_1, joint_2]","[5.860110274289673, 0.6691948709119346]","[0.00447121188380197, -6.103101407544352e-05]","[2.26885253918877, 0.5931299778069228]"
11388000000,,565,,11,388000000,'',"[joint_1, joint_2]","[5.8601995356542, 0.6691936512095742]","[0.004455710558055974, -6.094240676615074e-05]","[2.2689122196595344, 0.5931205303918106]"
11408000000,,566,,11,408000000,'',"[joint_1, joint_2]","[5.8602884876796555, 0.6691924333569874]","[0.004440274595865987, -6.084645265937855e-05]","[2.268971616857156, 0.5931110759739803]"
11428000000,,567,,11,428000000,'',"[joint_1, joint_2]","[5.860377131666137, 0.6691912174980059]","[0.0044249033113394716, -6.0743448803806874e-05]","[2.2690307294811713, 0.5931016130027127]"
11448000000,,568,,11,448000000,'',"[joint_1, joint_2]","[5.860465468899869, 0.6691900037704182]","[0.004409596004698667, -6.063370223838467e-05]","[2.2690895566583023, 0.5930921401949801]"
11468000000,,569,,11,468000000,'',"[joint_1, joint_2]","[5.860553500652962, 0.6691887923057829]","[0.0043943519653777095, -6.051752799920117e-05]","[2.269148097919473, 0.5930826565219256]"
11488000000,,570,,11,488000000,'',"[joint_1, joint_2]","[5.860641228183233, 0.6691875832292888]","[0.004379170475010412, -6.039524727306268e-05]","[2.2692063531772564, 0.5930731611953098]"
11508000000,,571,,11,508000000,'',"[joint_1, joint_2]","[5.860728652734072, 0.6691863766596517]","[0.004364050810296275, -6.026718568896781e-05]","[2.269264322702648, 0.5930636536537459]"
11528000000,,572,,11,528000000,'',"[joint_1, joint_2]","[5.860815775534372, 0.669185172709045]","[0.00434899224553562, -6.013367160241645e-05]","[2.2693220071029376, 0.5930541335486426]"
11548000000,,573,,11,548000000,'',"[joint_1, joint_2]","[5.860902597798513, 0.6691839714830587]","[0.004333994055140722, -5.999503459159453e-05]","[2.269379407298509, 0.5930446007310358]"
11568000000,,574,,11,568000000,'',"[joint_1, joint_2]","[5.8609891207263844, 0.669182773080693]","[0.004319055515926697, -5.9851604009231174e-05]","[2.269436524501261, 0.5930350552377456]"
11588000000,,575,,11,588000000,'',"[joint_1, joint_2]","[5.861075345503452, 0.6691815775943697]","[0.004304175909230858, -5.970370763062026e-05]","[2.2694933601920972, 0.59302549727836]"
11608000000,,576,,11,608000000,'',"[joint_1, joint_2]","[5.861161273300875, 0.6691803851099936]","[0.004289354522867136, -5.9551670415201353e-05]","[2.2695499160997947, 0.5930159272215426]"
11628000000,,577,,11,628000000,'',"[joint_1, joint_2]","[5.861246905275657, 0.6691791957069997]","[0.004274590652918758, -5.939581335177857e-05]","[2.2696061941797314, 0.5930063455826946]"
11648000000,,578,,11,648000000,'',"[joint_1, joint_2]","[5.86133224257082, 0.669178009458455]","[0.004259883605428935, -5.9236452433674563e-05]","[2.269662196593213, 0.5929967530112065]"
11668000000,,579,,11,668000000,'',"[joint_1, joint_2]","[5.861417286315626, 0.6691768264311753]","[0.004245232697819146, -5.9073897661791885e-05]","[2.269717925687833, 0.5929871502781319]"
11688000000,,580,,11,688000000,'',"[joint_1, joint_2]","[5.861502037625818, 0.6691756466858427]","[0.004230637260311152, -5.890845222634392e-05]","[2.269773383977727, 0.5929775382641517]"
11708000000,,581,,11,708000000,'',"[joint_1, joint_2]","[5.861586497603889, 0.6691744702771514]","[0.004216096637075501, -5.8740411693746636e-05]","[2.2698285741249014, 0.592967917948373]"
11728000000,,582,,11,728000000,'',"[joint_1, joint_2]","[5.86167066733937, 0.6691732972539723]","[0.004201610187306654, -5.8570063324588605e-05]","[2.269883498921321, 0.5929582903970323]"
11748000000,,583,,11,748000000,'',"[joint_1, joint_2]","[5.861754547909141, 0.6691721276595262]","[0.004187177286163468, -5.8397685471629074e-05]","[2.269938161271495, 0.5929486567524541]"
11768000000,,584,,11,768000000,'',"[joint_1, joint_2]","[5.861838140377759, 0.6691709615315622]","[0.004172797325559076, -5.822354703446161e-05]","[2.2699925641757446, 0.5929390182234024]"
